0 Image_num X Y
0 1200 189.29 129.749
0 1201 194.029 124.086
0 1202 199.481 125.34
0 1203 203.812 127.076
0 1204 217.496 128.328
0 1205 228.958 125.344
0 1206 227.145 123.396
0 1207 224.973 120.934
0 1208 223.669 121.286
0 1209 222.936 122.022
0 1210 222.066 122.453
0 1211 221.205 121.583
0 1212 217.637 123.189
0 1213 216.066 122.883
0 1214 213.829 124.493
0 1215 214.318 123.755
0 1216 213.423 120.394
0 1217 212.615 116.97
0 1218 207.603 116.854
0 1219 192.592 118.901
0 1220 193.527 118.609
0 1221 197.204 121.049
0 1222 201.246 122.899
0 1223 203.341 121.128
0 1224 204.284 119.037
0 1225 205.162 120.664
0 1226 199.664 119.467
0 1227 198.223 115.823
0 1228 200.815 113.762
0 1229 203.282 113.153
0 1230 202.487 114.943
0 1231 201.777 114.608
0 1232 202.49 113.883
0 1233 203.723 116.731
0 1234 214.498 121.536
0 1235 225.656 121.904
0 1236 222.731 120.137
0 1237 219.083 122.901
0 1238 215.686 122.031
0 1239 211.924 118.844
0 1240 209.44 122.405
0 1241 202.923 118.885
0 1242 200.885 118.777
0 1243 200.656 117.489
0 1244 199.969 118.146
0 1245 198.988 117.79
0 1246 199.27 118.319
0 1247 196.734 120.742
0 1248 196.292 121.184
0 1249 196.37 120.03
0 1250 197.247 120.155
0 1253 196.162 123.107
0 1260 199.483 125.655
0 1261 198.801 122.03
0 1262 199.171 121.247
0 1277 203.896 125.5
0 1278 206.031 123.868
0 1279 207.825 121.643
0 1280 209.937 121.563
0 1281 212.241 121.663
0 1282 214.643 122.016
0 1283 218.7 121.567
0 1301 140.554 116.616
0 1302 139.446 114.08
0 1303 119.965 122.876
0 1304 104.171 134.117
0 1305 106.978 135.713
0 1306 110.333 129.667
0 1328 190.791 124.269
0 1329 191.735 124.614
0 1331 192.245 125.211
0 1333 192.0 121.0
0 1338 193.773 124.485
0 1339 196.223 124.156
0 1340 198.483 120.758
0 1341 202.328 115.13
0 1342 205.346 111.173
0 1343 198.258 108.639
0 1346 114.416 130.322
0 1377 212.126 114.993
0 1378 201.872 120.655
0 1379 199.152 123.214
0 1434 216.034 134.378
0 1435 220.36 131.913
0 1436 211.211 130.772
0 1438 214.475 127.409
0 1439 214.362 128.955
0 1440 212.817 130.811
0 1441 211.266 131.266
0 1442 210.461 129.545
0 1443 210.167 130.228
0 1444 210.42 131.457
0 1445 212.693 128.062
0 1455 197.607 122.786
0 1456 199.778 122.165
0 1457 200.126 123.96
0 1458 200.245 123.009
0 1459 199.908 122.149
0 1460 199.787 124.594
0 1461 200.602 125.782
0 1462 200.403 123.919
0 1463 199.983 124.058
0 1464 199.408 123.655
0 1465 209.576 126.674
0 1479 194.874 124.276
0 1480 195.136 123.096
0 1487 206.638 127.385
0 1488 212.0 127.0
0 1489 210.512 127.163
0 1490 208.739 129.868
0 1491 206.419 128.45
0 1492 205.692 125.795
0 1493 190.463 126.713
0 1495 189.841 127.439
0 1496 192.0 127.0
0 1497 192.718 127.61
0 1498 192.536 129.174
0 1500 194.882 128.329
0 1559 215.692 132.276
0 1560 212.224 131.379
0 1561 209.988 132.449
0 1562 208.176 132.389
0 1563 207.062 133.009
0 1564 207.168 134.467
0 1608 189.755 121.04
0 1609 191.866 121.313
0 1610 194.049 121.04
0 1611 199.157 120.633
0 1612 199.363 123.232
0 1613 199.713 124.826
0 1614 197.091 123.461
0 1630 147.194 137.173
0 1634 230.829 128.381
0 1635 221.461 130.162
0 1636 210.143 132.4
0 1637 210.143 132.4
0 1638 206.886 132.827
0 1646 190.358 120.259
0 1648 194.856 119.527
0 1649 194.873 119.465
0 1650 197.812 117.845
0 1651 214.52 119.213
0 1652 228.344 110.985
0 1653 225.919 110.938
0 1656 215.507 114.5
0 1657 212.448 115.86
0 1658 211.092 114.967
0 1659 209.364 113.095
0 1660 207.013 116.121
0 1661 206.727 117.535
